yyyy/mm/dd, hh:mm:ss, timeElapsed, TPM1, TPM2.5, TPM10, PM1, PM2.5, PM10, CO2, TempC, Humidity, NO, NO2, O3, CO2raw, workNO2, auxNO2, workO3, auxO3, labNO, labNO2, labO3, labCO2, labTPM25, labPM25
2016/7/5, 19:23:38, 12369, 0, 0, 0, 0, 0, 0, 469.65, 25.64, 60.59, -96.10, -1399.29, 665.99, 240.23, 174.58, 204.75, 236.72, 198.79, -96.10, -1399.29, 665.99, 469.65, 0.00, 0.00
2016/7/5, 19:24:38, 12430, 0, 0, 0, 0, 0, 0, 466.58, 25.63, 60.60, 26.71, -1351.89, 448.07, 238.65, 177.13, 203.81, 232.85, 206.54, 26.71, -1351.89, 448.07, 466.58, 0.00, 0.00
2016/7/5, 19:25:39, 12490, 0, 0, 0, 0, 0, 0, 472.70, 25.62, 60.62, -87.72, -1431.47, 453.71, 241.79, 166.46, 201.85, 226.88, 206.15, -87.72, -1431.47, 453.71, 472.70, 0.00, 0.00
2016/7/5, 19:26:40, 12552, 0, 0, 0, 0, 0, 0, 470.61, 25.62, 60.61, -28.28, -1576.09, 846.08, 240.72, 173.32, 212.87, 235.32, 195.09, -28.28, -1576.09, 846.08, 470.61, 0.00, 0.00
2016/7/5, 19:27:40, 12612, 0, 0, 0, 0, 0, 0, 486.21, 25.62, 60.62, -43.50, -1458.62, 645.35, 248.70, 172.11, 206.34, 232.32, 199.83, -43.50, -1458.62, 645.35, 486.21, 0.00, 0.00
2016/7/5, 19:28:42, 12673, 0, 0, 0, 0, 0, 0, 466.44, 25.61, 60.63, -5.94, -1110.70, 299.20, 238.58, 175.66, 190.96, 221.57, 199.92, -5.94, -1110.70, 299.20, 466.44, 0.00, 0.00
2016/7/5, 19:29:43, 12734, 0, 0, 0, 0, 0, 0, 477.51, 25.61, 60.64, -103.51, -1278.50, 380.74, 244.25, 174.15, 198.49, 230.77, 206.36, -103.51, -1278.50, 380.74, 477.51, 0.00, 0.00
2016/7/5, 19:30:43, 12795, 0, 0, 0, 0, 0, 0, 482.97, 25.61, 60.65, -75.72, -1484.39, 588.43, 247.04, 182.60, 213.45, 229.47, 202.32, -75.72, -1484.39, 588.43, 482.97, 0.00, 0.00
2016/7/5, 19:31:44, 12855, 0, 0, 1, 0, 0, 1, 461.94, 25.60, 60.66, -58.75, -1361.53, 572.17, 236.28, 178.42, 205.00, 236.13, 202.04, -58.75, -1361.53, 572.17, 461.94, 0.00, 0.00
2016/7/5, 19:32:44, 12916, 0, 0, 0, 0, 0, 0, 462.86, 25.59, 60.68, -97.56, -1195.08, 538.26, 236.75, 180.25, 197.72, 228.98, 194.19, -97.56, -1195.08, 538.26, 462.86, 0.00, 0.00
2016/7/5, 19:33:45, 12977, 0, 0, 0, 0, 0, 0, 472.23, 25.58, 60.70, -12.05, -1409.93, 677.52, 241.55, 167.25, 201.21, 231.72, 196.08, -12.05, -1409.93, 677.52, 472.23, 0.00, 0.00
2016/7/5, 19:34:46, 13037, 0, 0, 0, 0, 0, 0, 467.95, 25.57, 60.70, -90.92, -1284.47, 534.34, 239.36, 175.75, 199.68, 235.21, 200.75, -90.92, -1284.47, 534.34, 467.95, 0.00, 0.00
2016/7/5, 19:35:46, 13098, 0, 0, 0, 0, 0, 0, 470.54, 25.55, 60.71, -11.67, -1368.68, 684.58, 240.68, 173.19, 202.45, 229.68, 193.19, -11.67, -1368.68, 684.58, 470.54, 0.00, 0.00
2016/7/5, 19:36:47, 13158, 0, 0, 0, 0, 0, 0, 468.25, 25.54, 60.72, 6.29, -1548.47, 691.51, 239.51, 171.45, 210.45, 238.25, 203.64, 6.29, -1548.47, 691.51, 468.25, 0.00, 0.00
2016/7/5, 19:37:47, 13219, 0, 0, 0, 0, 0, 0, 460.76, 25.54, 60.72, -33.23, -1276.10, 606.77, 235.68, 185.81, 204.85, 232.98, 195.55, -33.23, -1276.10, 606.77, 460.76, 0.00, 0.00
2016/7/5, 19:38:48, 13279, 0, 0, 0, 0, 0, 0, 469.21, 25.54, 60.72, -85.52, -1469.55, 769.94, 240.00, 178.77, 210.58, 232.87, 193.98, -85.52, -1469.55, 769.94, 469.21, 0.00, 0.00
2016/7/5, 19:39:48, 13340, 0, 0, 0, 0, 0, 0, 470.02, 25.53, 60.74, -68.69, -1295.44, 502.66, 240.42, 183.06, 204.28, 221.92, 196.17, -68.69, -1295.44, 502.66, 470.02, 0.00, 0.00
2016/7/5, 19:40:49, 13400, 0, 0, 0, 0, 0, 0, 472.79, 25.53, 60.75, -100.78, -1348.96, 666.20, 241.83, 173.57, 201.68, 236.09, 196.64, -100.78, -1348.96, 666.20, 472.79, 0.00, 0.00
2016/7/5, 19:41:49, 13461, 0, 0, 0, 0, 0, 0, 459.62, 25.52, 60.75, -107.31, -1300.19, 636.66, 235.09, 177.26, 201.30, 230.32, 193.53, -107.31, -1300.19, 636.66, 459.62, 0.00, 0.00
2016/7/5, 19:42:50, 13521, 0, 0, 0, 0, 0, 0, 470.87, 25.52, 60.76, -46.68, -1477.79, 593.40, 240.85, 181.40, 212.45, 225.64, 199.91, -46.68, -1477.79, 593.40, 470.87, 0.00, 0.00
2016/7/5, 19:43:50, 13582, 0, 0, 0, 0, 0, 0, 465.22, 25.52, 60.77, -118.10, -1298.97, 585.88, 237.96, 170.38, 197.42, 232.00, 196.98, -118.10, -1298.97, 585.88, 465.22, 0.00, 0.00
2016/7/5, 19:44:51, 13642, 0, 0, 0, 0, 0, 0, 476.81, 25.51, 60.76, -99.17, -1116.29, 362.22, 243.89, 176.92, 191.94, 231.98, 202.04, -99.17, -1116.29, 362.22, 476.81, 0.00, 0.00
2016/7/5, 19:45:51, 13703, 0, 0, 0, 0, 0, 0, 471.24, 25.50, 60.79, -72.60, -1148.66, 427.06, 241.04, 174.53, 192.23, 228.45, 198.06, -72.60, -1148.66, 427.06, 471.24, 0.00, 0.00
2016/7/5, 19:46:52, 13763, 0, 0, 0, 0, 0, 0, 464.15, 25.49, 60.81, 47.64, -1404.29, 607.63, 237.42, 179.43, 207.70, 223.04, 195.19, 47.64, -1404.29, 607.63, 464.15, 0.00, 0.00
2016/7/5, 19:47:52, 13824, 0, 0, 0, 0, 0, 0, 475.74, 25.50, 60.82, 61.15, -1282.28, 613.77, 243.34, 173.81, 198.49, 238.58, 198.21, 61.15, -1282.28, 613.77, 475.74, 0.00, 0.00
2016/7/5, 19:48:53, 13884, 0, 0, 0, 0, 0, 0, 473.38, 25.48, 60.82, -122.52, -1447.05, 596.76, 242.13, 177.06, 208.51, 234.23, 202.91, -122.52, -1447.05, 596.76, 473.38, 0.00, 0.00
2016/7/5, 19:49:53, 13945, 0, 0, 0, 0, 0, 0, 477.07, 25.48, 60.83, -43.66, -1188.52, 405.70, 244.02, 169.66, 191.51, 230.23, 201.51, -43.66, -1188.52, 405.70, 477.07, 0.00, 0.00
2016/7/5, 19:50:54, 14005, 0, 0, 0, 0, 0, 0, 467.66, 25.47, 60.84, -60.98, -1332.23, 704.34, 239.21, 171.26, 199.57, 234.74, 193.36, -60.98, -1332.23, 704.34, 467.66, 0.00, 0.00
2016/7/5, 19:51:54, 14066, 0, 0, 0, 0, 0, 0, 458.99, 25.46, 60.85, -4.13, -1400.13, 867.41, 234.77, 172.81, 203.81, 229.62, 184.74, -4.13, -1400.13, 867.41, 458.99, 0.00, 0.00
2016/7/5, 19:52:55, 14126, 0, 0, 0, 0, 0, 0, 465.63, 25.46, 60.84, -79.22, -1263.82, 558.41, 238.17, 175.09, 198.28, 237.91, 200.09, -79.22, -1263.82, 558.41, 465.63, 0.00, 0.00
2016/7/5, 19:53:55, 14187, 0, 0, 0, 0, 0, 0, 478.69, 25.45, 60.85, -14.01, -1278.79, 549.51, 244.85, 178.30, 200.81, 238.04, 201.17, -14.01, -1278.79, 549.51, 478.69, 0.00, 0.00
2016/7/5, 19:54:56, 14247, 0, 0, 0, 0, 0, 0, 460.24, 25.44, 60.85, -104.63, -1392.14, 721.60, 235.42, 177.09, 205.79, 234.94, 194.74, -104.63, -1392.14, 721.60, 460.24, 0.00, 0.00
2016/7/5, 19:55:56, 14308, 0, 0, 0, 0, 0, 0, 468.43, 25.44, 60.86, -29.46, -1482.24, 658.15, 239.60, 178.08, 210.83, 238.81, 203.26, -29.46, -1482.24, 658.15, 468.43, 0.00, 0.00
2016/7/5, 19:56:57, 14368, 0, 0, 0, 0, 0, 0, 451.10, 25.43, 60.85, -80.01, -1497.93, 645.96, 230.74, 170.62, 207.47, 231.26, 200.70, -80.01, -1497.93, 645.96, 451.10, 0.00, 0.00
2016/7/5, 19:57:57, 14429, 0, 0, 0, 0, 0, 0, 485.51, 25.43, 60.87, -71.98, -1465.39, 798.78, 248.34, 168.92, 204.91, 235.96, 193.87, -71.98, -1465.39, 798.78, 485.51, 0.00, 0.00
2016/7/5, 19:58:58, 14489, 0, 0, 0, 0, 0, 0, 483.04, 25.42, 60.88, -73.32, -1467.53, 548.78, 247.08, 163.77, 202.15, 228.09, 203.09, -73.32, -1467.53, 548.78, 483.04, 0.00, 0.00
